id;firstname;lastname;email;phone
1;Unbranded Metrics digital;Venezuela Colombian Peso Unidad de Valor Real;"^T7@;PePv[.A*SOrc";(410) 039-4961 
2;Berkshire Metrics;Buckinghamshire bypassing;",@K.M8";710-306-4199 x9
3;Bedfordshire;systemic SMTP;"P=jI)@W?.%";(433) 484-2896 
4;Integration infomediaries;Data;"<5@$R.HE~:By";1-429-675-2564
5;Alaska;HTTP Guyana Dollar copying;"T:8/vK@gFb>.eC";(013) 007-8175
6;redundant payment internet solution;Analyst Dynamic interface;"Woh@+B5.&|tC";048-168-8062
7;invoice;invoice Wooden;"<\7ty@WW.Dd";1-499-055-5803
8;Mandatory Baby;moderator;"2.Fp@^nT.J";(422) 477-3870
9;Direct;Sleek Taiwan;"v,x7o@G\(u..w><_";1-368-701-9573
10;Dynamic;Handcrafted;"vj+^hT@D6./=x";1-982-042-4843
